Data,DataID,variant,InputData,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
m,2,111,512,0x200060200000,0x200060300000,1048576,5,55,1024.0,0.0,0.0
a,0,111,528,0x200060000000,0x200060110400,1115136,13,107,1152.0,1152.0,0.0
b,1,111,528,0x200060110400,0x200060110c40,2112,0,0,0.0,0.0,0.0
m,2,111,528,0x200060200000,0x200060310400,1115136,6,37,1152.0,0.0,0.0
a,0,111,544,0x200060000000,0x200060121000,1183744,8,29,1216.0,1216.0,0.0
b,1,111,544,0x200060121000,0x200060121880,2176,0,0,0.0,0.0,0.0
m,2,111,544,0x200060200000,0x200060321000,1183744,6,28,1216.0,0.0,0.0
a,0,111,560,0x200060000000,0x200060132400,1254400,8,39,1280.0,1280.0,0.0
b,1,111,560,0x200060132400,0x200060132cc0,2240,0,0,0.0,0.0,0.0
m,2,111,560,0x200060200000,0x200060332400,1254400,6,49,1280.0,0.0,0.0
a,0,111,576,0x200060000000,0x200060144000,1327104,8,28,1344.0,1344.0,0.0
b,1,111,576,0x200060144000,0x200060144900,2304,0,0,0.0,0.0,0.0
m,2,111,576,0x200060200000,0x200060344000,1327104,6,61,1344.0,0.0,0.0
a,0,111,592,0x200060000000,0x200060156400,1401856,16,41,1536.0,1408.0,0.0
b,1,111,592,0x200060156400,0x200060156d40,2368,0,0,0.0,0.0,0.0
m,2,111,592,0x200060200000,0x200060356400,1401856,6,44,1408.0,0.0,0.0
a,0,111,608,0x200060000000,0x200060169000,1478656,15,56,1536.0,1472.0,0.0
b,1,111,608,0x200060169000,0x200060169980,2432,0,0,0.0,0.0,0.0
m,2,111,608,0x200060200000,0x200060369000,1478656,6,57,1472.0,0.0,0.0
a,0,111,624,0x200060000000,0x20006017c400,1557504,15,39,1536.0,1536.0,0.0
b,1,111,624,0x20006017c400,0x20006017cdc0,2496,0,0,0.0,0.0,0.0
m,2,111,624,0x200060200000,0x20006037c400,1557504,6,47,1536.0,0.0,0.0
a,0,111,64,0x200060000000,0x200060004000,16384,2,56,64.0,64.0,0.0
b,1,111,64,0x200060004000,0x200060004100,256,0,0,0.0,0.0,0.0
m,2,111,64,0x200060004200,0x200060008200,16384,0,0,0.0,0.0,0.0
a,0,111,640,0x200060000000,0x200060190000,1638400,17,19,2048.0,1664.0,0.0
b,1,111,640,0x200060190000,0x200060190a00,2560,1,0,448.0,64.0,0.0
m,2,111,640,0x200060200000,0x200060390000,1638400,6,46,2048.0,0.0,0.0
a,0,111,656,0x200060000000,0x2000601a4400,1721344,14,23,2048.0,1728.0,0.0
b,1,111,656,0x2000601a4400,0x2000601a4e40,2624,0,0,0.0,0.0,0.0
m,2,111,656,0x200060200000,0x2000603a4400,1721344,6,38,1728.0,0.0,0.0
a,0,111,672,0x200060000000,0x2000601b9000,1806336,14,15,2048.0,1792.0,0.0
b,1,111,672,0x2000601b9000,0x2000601b9a80,2688,0,0,0.0,0.0,0.0
m,2,111,672,0x200060200000,0x2000603b9000,1806336,6,33,2048.0,0.0,0.0
a,0,111,688,0x200060000000,0x2000601ce400,1893376,15,35,2048.0,1856.0,0.0
b,1,111,688,0x2000601ce400,0x2000601ceec0,2752,0,0,0.0,0.0,0.0
m,2,111,688,0x200060200000,0x2000603ce400,1893376,6,36,2048.0,0.0,0.0
a,0,111,704,0x200060000000,0x2000601e4000,1982464,12,34,2048.0,1984.0,0.0
b,1,111,704,0x2000601e4000,0x2000601e4b00,2816,0,0,0.0,0.0,0.0
m,2,111,704,0x200060200000,0x2000603e4000,1982464,6,32,2048.0,0.0,0.0
a,0,111,720,0x200060000000,0x2000601fa400,2073600,12,30,2048.0,2048.0,0.0
b,1,111,720,0x2000601fa400,0x2000601faf40,2880,0,0,0.0,0.0,0.0
m,2,111,720,0x200060200000,0x2000603fa400,2073600,6,38,2048.0,0.0,0.0
a,0,111,736,0x200060000000,0x200060211000,2166784,16,25,2176.0,2176.0,0.0
b,1,111,736,0x200060400000,0x200060400b80,2944,2,241,64.0,64.0,0.0
m,2,111,736,0x200060600000,0x200060811000,2166784,8,36,2176.0,0.0,0.0
a,0,111,752,0x200060000000,0x200060228400,2262016,16,35,2240.0,2240.0,0.0
b,1,111,752,0x200060400000,0x200060400bc0,3008,2,245,64.0,64.0,0.0
m,2,111,752,0x200060600000,0x200060828400,2262016,8,43,2240.0,0.0,0.0
a,0,111,768,0x200060000000,0x200060240000,2359296,18,28,2304.0,2304.0,0.0
b,1,111,768,0x200060400000,0x200060400c00,3072,2,218,64.0,64.0,0.0
m,2,111,768,0x200060600000,0x200060840000,2359296,9,35,2304.0,0.0,0.0
a,0,111,784,0x200060000000,0x200060258400,2458624,20,35,2432.0,2432.0,0.0
b,1,111,784,0x200060400000,0x200060400c40,3136,2,256,64.0,64.0,0.0
m,2,111,784,0x200060600000,0x200060858400,2458624,10,23,2432.0,0.0,0.0
a,0,111,80,0x200060000000,0x200060006400,25600,2,56,64.0,64.0,0.0
b,1,111,80,0x200060006400,0x200060006540,320,0,0,0.0,0.0,0.0
m,2,111,80,0x200060006600,0x20006000ca00,25600,0,0,0.0,0.0,0.0
a,0,111,800,0x200060000000,0x200060271000,2560000,20,34,2560.0,2560.0,0.0
b,1,111,800,0x200060400000,0x200060400c80,3200,2,256,64.0,64.0,0.0
m,2,111,800,0x200060600000,0x200060871000,2560000,10,52,2560.0,0.0,0.0
a,0,111,816,0x200060000000,0x20006028a400,2663424,21,45,2624.0,2624.0,0.0
b,1,111,816,0x200060400000,0x200060400cc0,3264,2,250,64.0,64.0,0.0
m,2,111,816,0x200060600000,0x20006088a400,2663424,10,47,2624.0,0.0,0.0
a,0,111,832,0x200060000000,0x2000602a4000,2768896,22,34,2752.0,2752.0,0.0
b,1,111,832,0x200060400000,0x200060400d00,3328,2,256,64.0,64.0,0.0
m,2,111,832,0x200060600000,0x2000608a4000,2768896,11,53,2752.0,0.0,0.0
a,0,111,848,0x200060000000,0x2000602be400,2876416,23,31,2816.0,2816.0,0.0
b,1,111,848,0x200060400000,0x200060400d40,3392,2,221,64.0,64.0,0.0
m,2,111,848,0x200060600000,0x2000608be400,2876416,11,43,2816.0,0.0,0.0
a,0,111,864,0x200060000000,0x2000602d9000,2985984,23,48,2944.0,2944.0,0.0
b,1,111,864,0x200060400000,0x200060400d80,3456,2,256,64.0,64.0,0.0
m,2,111,864,0x200060600000,0x2000608d9000,2985984,11,39,2944.0,0.0,0.0
a,0,111,880,0x200060000000,0x2000602f4400,3097600,22,34,3072.0,3072.0,0.0
b,1,111,880,0x200060400000,0x200060400dc0,3520,2,232,64.0,64.0,0.0
m,2,111,880,0x200060600000,0x2000608f4400,3097600,11,44,3072.0,0.0,0.0
a,0,111,896,0x200060000000,0x200060310000,3211264,23,44,3136.0,3136.0,0.0
b,1,111,896,0x200060400000,0x200060400e00,3584,2,236,64.0,64.0,0.0
m,2,111,896,0x200060600000,0x200060910000,3211264,11,52,3136.0,0.0,0.0
a,0,111,912,0x200060000000,0x20006032c400,3326976,25,28,3264.0,3264.0,0.0
b,1,111,912,0x200060400000,0x200060400e40,3648,2,256,64.0,64.0,0.0
m,2,111,912,0x200060600000,0x20006092c400,3326976,12,53,3264.0,0.0,0.0
a,0,111,928,0x200060000000,0x200060349000,3444736,26,36,3392.0,3392.0,0.0
b,1,111,928,0x200060400000,0x200060400e80,3712,2,254,64.0,64.0,0.0
m,2,111,928,0x200060600000,0x200060949000,3444736,12,40,3392.0,0.0,0.0
a,0,111,944,0x200060000000,0x200060366400,3564544,25,44,3520.0,3520.0,0.0
b,1,111,944,0x200060400000,0x200060400ec0,3776,2,212,64.0,64.0,0.0
m,2,111,944,0x200060600000,0x200060966400,3564544,12,55,3520.0,0.0,0.0
a,0,111,96,0x200060000000,0x200060009000,36864,2,56,64.0,64.0,0.0
b,1,111,96,0x200060009000,0x200060009180,384,0,0,0.0,0.0,0.0
m,2,111,96,0x200060009200,0x200060012200,36864,1,5,64.0,0.0,0.0
a,0,111,960,0x200060000000,0x200060384000,3686400,27,30,3648.0,3648.0,0.0
b,1,111,960,0x200060400000,0x200060400f00,3840,2,163,64.0,64.0,0.0
m,2,111,960,0x200060600000,0x200060984000,3686400,12,36,3648.0,0.0,0.0
a,0,111,976,0x200060000000,0x2000603a2400,3810304,26,44,3776.0,3776.0,0.0
b,1,111,976,0x200060400000,0x200060400f40,3904,2,256,64.0,64.0,0.0
m,2,111,976,0x200060600000,0x2000609a2400,3810304,12,39,3776.0,0.0,0.0
a,0,111,992,0x200060000000,0x2000603c1000,3936256,25,48,3904.0,3904.0,0.0
b,1,111,992,0x200060400000,0x200060400f80,3968,2,256,64.0,64.0,0.0
m,2,111,992,0x200060600000,0x2000609c1000,3936256,12,53,3904.0,0.0,0.0
a,0,111,matrix1024,0x200060000000,0x200060400000,4194304,26,282,4160.0,4160.0,0.0
b,1,111,matrix1024,0x200060400000,0x200060401000,4096,2,256,64.0,64.0,0.0
m,2,111,matrix1024,0x200060600000,0x200060a00000,4194304,12,54,4096.0,0.0,0.0
a,0,111,matrix16,0x200060000000,0x200060000400,1024,2,9,64.0,64.0,0.0
b,1,111,matrix16,0x200060000400,0x200060000440,64,0,0,0.0,0.0,0.0
m,2,111,matrix16,0x200060000600,0x200060000a00,1024,0,0,0.0,0.0,0.0
a,0,111,matrix208,0x200060000000,0x20006002a400,173056,6,50,192.0,192.0,0.0
b,1,111,matrix208,0x20006002a400,0x20006002a740,832,0,0,0.0,0.0,0.0
m,2,111,matrix208,0x20006002a800,0x200060054c00,173056,1,5,320.0,64.0,0.0
a,0,111,matrix3,0x200060000000,0x200060000024,36,2,1,64.0,64.0,0.0
b,1,111,matrix3,0x200060000200,0x20006000020c,12,0,0,0.0,0.0,0.0
m,2,111,matrix3,0x200060000400,0x200060000424,36,0,0,0.0,0.0,0.0
a,0,111,matrix304,0x200060000000,0x20006005a400,369664,9,40,512.0,384.0,0.0
b,1,111,matrix304,0x20006005a400,0x20006005a8c0,1216,0,0,0.0,0.0,0.0
m,2,111,matrix304,0x20006005aa00,0x2000600b4e00,369664,1,8,512.0,128.0,0.0
a,0,111,matrix32,0x200060000000,0x200060001000,4096,2,32,64.0,64.0,0.0
b,1,111,matrix32,0x200060001000,0x200060001080,128,0,0,0.0,0.0,0.0
m,2,111,matrix32,0x200060001200,0x200060002200,4096,0,0,0.0,0.0,0.0
a,0,111,matrix320,0x200060000000,0x200060064000,409600,8,65,448.0,448.0,0.0
b,1,111,matrix320,0x200060064000,0x200060064500,1280,0,0,0.0,0.0,0.0
m,2,111,matrix320,0x200060064600,0x2000600c8600,409600,1,2,384.0,64.0,0.0
a,0,111,matrix336,0x200060000000,0x20006006e400,451584,8,1,448.0,448.0,0.0
b,1,111,matrix336,0x20006006e400,0x20006006e940,1344,0,0,0.0,0.0,0.0
m,2,111,matrix336,0x20006006ea00,0x2000600dce00,451584,1,8,576.0,64.0,0.0
a,0,111,matrix368,0x200060000000,0x200060084400,541696,10,28,576.0,576.0,0.0
b,1,111,matrix368,0x200060084400,0x2000600849c0,1472,0,0,0.0,0.0,0.0
m,2,111,matrix368,0x200060084a00,0x200060108e00,541696,1,24,512.0,0.0,0.0
a,0,111,matrix384,0x200060000000,0x200060090000,589824,11,24,960.0,640.0,0.0
b,1,111,matrix384,0x200060090000,0x200060090600,1536,1,0,384.0,64.0,0.0
m,2,111,matrix384,0x200060090600,0x200060120600,589824,1,9,1088.0,0.0,0.0
a,0,111,matrix4,0x200060000000,0x200060000040,64,2,2,64.0,64.0,0.0
b,1,111,matrix4,0x200060000200,0x200060000210,16,0,0,0.0,0.0,0.0
m,2,111,matrix4,0x200060000400,0x200060000440,64,0,0,0.0,0.0,0.0
