Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
gaussian,1008,13,Fan1,729411764.71,7.17,5938,1090962009.80,7.17,5440,0.98,69.44,0.09,56.87,0.28,0.00,0.30,7.38,7.38,53523529411.76,0.70,7.17,50.76,0.09,1.48,3.47,0.12,92.54,1,0.07,7.46,28.81,31.38,48.64,46.50,46.50,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.20,20.63,64,100
gaussian,1008,14,Fan2,871769456.68,9.25,142024,1302868024.96,9.25,108960,9.04,99717.12,4.58,9.60,0.26,0.18,0.26,6.52,6.52,82580029368.58,9.04,9.25,86.72,3.88,73.26,1.42,0.08,91.77,1,0.08,8.23,14.52,15.98,17.21,17.20,17.20,6493.09,2077790,6498.18,2079417,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.94,7.72,32,50
gaussian,1008,15,Fan1,723837209.30,7.08,5962,1082939680.23,7.08,5504,0.98,70.08,0.09,56.30,0.28,0.00,0.29,7.31,7.31,52494186046.51,0.70,7.08,50.76,0.09,1.48,3.28,0.12,92.59,1,0.07,7.41,28.79,31.35,46.27,44.23,44.23,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.12,20.50,64,100
gaussian,1008,16,Fan2,871147637.22,9.23,142036,1302051230.31,10.42,109024,10.42,103362.32,4.58,10.85,0.25,0.18,0.25,6.29,6.29,82339301438.22,9.29,10.42,90.09,3.88,75.46,1.52,0.09,91.67,1,0.08,8.33,14.50,15.96,18.22,18.21,18.21,6493.09,2077790,6498.93,2079658,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.58,7.15,32,50
gaussian,1008,17,Fan1,723265895.95,7.08,5960,1076258429.67,7.08,5536,0.97,69.85,0.09,56.42,0.28,0.00,0.29,7.34,7.34,52433526011.56,0.70,7.08,50.76,0.09,1.48,3.79,0.12,92.27,1,0.08,7.73,28.77,31.33,51.31,49.06,49.06,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.18,20.59,64,100
gaussian,1008,18,Fan2,870821114.37,9.19,142090,1301321175.46,10.40,109120,10.40,104040.39,4.58,10.77,0.25,0.18,0.25,6.24,6.24,81985630498.53,9.28,10.40,89.98,3.88,75.73,1.46,0.09,91.69,1,0.08,8.31,14.49,15.94,17.54,17.53,17.53,6493.09,2077790,6497.13,2079081,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.47,6.98,32,50
gaussian,1008,19,Fan1,739766081.87,7.02,6047,1104471247.56,7.02,5472,0.96,69.81,0.09,56.40,0.28,0.00,0.29,7.34,7.34,53198830409.36,0.69,7.02,50.76,0.09,1.48,3.26,0.12,92.41,1,0.08,7.59,28.74,31.30,44.99,43.01,43.01,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.24,20.69,64,100
gaussian,1008,20,Fan2,870857771.26,9.20,142078,1301166911.05,10.39,109120,10.39,104755.57,4.56,10.69,0.25,0.18,0.25,6.18,6.18,82074486803.52,9.84,10.39,90.40,3.87,75.77,1.45,0.08,91.79,1,0.08,8.21,14.51,15.96,17.65,17.64,17.64,6475.06,2072019,6479.10,2073311,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.44,6.94,32,50
gaussian,1008,21,Fan1,712643678.16,7.21,5933,1065074233.72,7.21,5568,0.98,73.55,0.09,53.48,0.27,0.00,0.28,6.97,6.97,52637931034.48,0.70,7.21,50.76,0.09,1.48,3.10,0.11,93.00,1,0.07,7.00,28.72,31.28,46.31,44.27,44.27,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.20,20.63,64,100
gaussian,1008,22,Fan2,871621621.62,9.21,142010,1303129896.20,9.55,108928,9.55,101452.65,4.56,9.38,0.25,0.18,0.25,6.37,6.37,82244124559.34,9.55,9.21,86.38,3.86,73.55,1.44,0.09,91.65,1,0.08,8.35,14.52,15.98,17.23,17.21,17.21,6461.83,2067786,6466.76,2069362,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.58,7.16,32,50
gaussian,1008,23,Fan1,733918128.65,7.07,5973,1091100146.20,7.07,5472,0.97,69.01,0.09,56.95,0.28,0.00,0.30,7.43,7.43,53105263157.89,0.69,7.07,50.76,0.09,1.49,3.20,0.11,92.96,1,0.07,7.04,28.70,31.25,47.51,45.42,45.42,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.15,20.54,64,100
gaussian,1008,24,Fan2,871659324.52,9.23,142057,1302930739.11,10.30,108960,10.30,103104.05,4.56,10.79,0.25,0.18,0.25,6.27,6.27,82357121879.59,9.21,10.30,90.33,3.86,75.76,1.42,0.08,91.75,1,0.08,8.25,14.50,15.96,17.24,17.23,17.23,6461.83,2067786,6467.07,2069463,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.48,7.00,32,50
gaussian,1008,25,Fan1,715116279.07,7.21,5881,1068283672.48,7.21,5504,0.98,79.25,0.09,49.54,0.25,0.00,0.26,6.47,6.47,52784883720.93,0.70,7.21,50.76,0.09,1.49,3.53,0.12,92.29,1,0.08,7.71,28.68,31.23,47.91,45.80,45.80,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.45,21.02,64,100
gaussian,1008,26,Fan2,870783220.89,9.19,142057,1301409565.37,10.33,109088,10.33,103333.88,4.55,10.75,0.25,0.18,0.25,6.26,6.26,81925198005.28,9.34,10.33,90.08,3.86,75.79,1.45,0.09,91.68,1,0.08,8.32,14.48,15.94,17.48,17.46,17.46,6461.83,2067786,6466.83,2069386,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.47,6.98,32,50
gaussian,1008,27,Fan1,695530726.26,7.06,5972,1042364990.69,7.06,5728,0.97,70.39,0.09,55.73,0.27,0.00,0.28,7.11,7.11,50262569832.40,0.69,7.06,50.76,0.09,1.44,3.34,0.11,92.53,1,0.07,7.47,29.38,32,46.86,44.75,44.75,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.79,19.98,64,100
gaussian,1008,28,Fan2,871655395.47,9.19,141834,1302657612.96,10.35,108832,10.35,103017.51,4.55,10.78,0.25,0.18,0.25,6.26,6.26,82053807703.62,9.48,10.35,90.49,3.86,76.00,1.51,0.08,91.86,1,0.08,8.14,14.51,15.96,18.59,18.58,18.58,6443.85,2062032,6448.17,2063414,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.56,7.13,32,50
gaussian,1008,29,Fan1,715976331.36,7.41,5778,1068139792.90,7.41,5408,1.00,69.97,0.09,56.00,0.27,0.00,0.29,7.15,7.15,54337278106.51,0.71,7.41,50.81,0.09,1.44,3.36,0.11,92.51,1,0.07,7.49,29.36,31.97,46.93,44.82,44.82,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.93,20.20,64,100
gaussian,1008,30,Fan2,869641808.57,9.07,141774,1300129061.46,9.07,108992,8.31,105451.71,4.54,9.32,0.24,0.18,0.24,6.10,6.10,80758367586.61,8.23,9.07,87.13,3.85,73.83,1.38,0.08,91.76,1,0.08,8.24,14.52,15.98,16.79,16.78,16.78,6430.68,2057816,6435.73,2059433,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.18,6.53,32,50
gaussian,1008,31,Fan1,712643678.16,7.22,5940,1066421216.48,7.22,5568,0.97,72.49,0.09,54.01,0.26,0.00,0.28,6.90,6.90,52672413793.10,0.69,7.22,50.81,0.09,1.44,3.12,0.10,93.17,1,0.07,6.83,29.34,31.95,47.77,45.62,45.62,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.93,20.20,64,100
gaussian,1008,32,Fan2,871953010.28,9.07,142065,1303068404.31,10.35,108960,10.35,105059.11,4.53,10.50,0.24,0.18,0.25,6.13,6.13,80975917767.99,10.35,10.27,90.71,3.84,75.86,1.41,0.08,91.87,1,0.08,8.13,14.50,15.96,17.36,17.35,17.35,6430.68,2057816,6435.64,2059405,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.41,6.89,32,50
gaussian,1008,33,Fan1,727470930.23,7.14,5986,1087088178.29,7.14,5504,0.96,70.71,0.09,55.31,0.27,0.00,0.28,7.08,7.08,53180232558.14,0.69,7.14,50.81,0.09,1.44,3.43,0.12,92.36,1,0.08,7.64,29.31,31.92,47.08,44.96,44.96,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.99,20.30,64,100
gaussian,1008,34,Fan2,870158450.70,9.04,141868,1300046153.66,10.26,109056,10.26,105314.90,4.54,10.45,0.24,0.18,0.24,6.11,6.11,80519659624.41,9.60,10.26,90.28,3.85,75.74,1.46,0.08,91.82,1,0.08,8.18,14.48,15.94,17.83,17.81,17.81,6430.68,2057816,6436.43,2059657,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.34,6.79,32,50
gaussian,1008,35,Fan1,708571428.57,7.19,5917,1056041666.67,7.19,5600,0.98,66.95,0.09,58.36,0.29,0.00,0.30,7.47,7.47,52165714285.71,0.70,7.19,50.81,0.09,1.44,3.28,0.11,92.62,1,0.07,7.38,29.29,31.90,46.51,44.42,44.42,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.84,20.06,64,100
gaussian,1008,36,Fan2,872684504.56,9.08,142011,1304210465.06,10.23,108832,10.23,104968.07,4.52,10.48,0.24,0.18,0.24,6.11,6.11,81116436342.25,9.40,10.23,90.22,3.83,75.26,1.41,0.08,91.88,1,0.08,8.12,14.51,15.96,17.40,17.39,17.39,6412.75,2052079,6416.81,2053378,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.34,6.79,32,50
gaussian,1008,37,Fan1,722222222.22,7.14,5921,1081505847.95,7.14,5472,0.97,67.64,0.09,57.72,0.28,0.00,0.30,7.40,7.40,52836257309.94,0.70,7.14,50.82,0.09,1.45,3.21,0.11,92.87,1,0.07,7.13,29.27,31.87,47.08,44.96,44.96,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.85,20.08,64,100
gaussian,1008,38,Fan2,870707367.19,9.06,141974,1301750073.38,9.06,109024,8.97,106601.73,4.51,9.16,0.24,0.18,0.24,6.01,6.01,80815086586.44,8.97,9.06,86.17,3.82,73.50,1.40,0.08,91.70,1,0.08,8.30,14.52,15.98,16.94,16.92,16.92,6399.62,2047880,6407.25,2050319,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.24,6.63,32,50
gaussian,1008,39,Fan1,716763005.78,7.16,5948,1073970375.72,7.16,5536,0.97,70.14,0.09,55.61,0.27,0.00,0.29,7.13,7.13,52560693641.62,0.69,7.16,50.82,0.09,1.45,3.36,0.12,92.25,1,0.08,7.75,29.24,31.85,45.41,43.37,43.37,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.79,19.99,64,100
gaussian,1008,40,Fan2,870017584.99,9.05,142025,1299778355.80,10.17,109184,10.17,103329.96,4.51,10.61,0.25,0.18,0.25,6.20,6.20,80590562719.81,9.33,10.17,90.96,3.82,75.74,1.49,0.08,91.74,1,0.08,8.26,14.50,15.96,18.06,18.05,18.05,6399.62,2047880,6405.67,2049815,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.50,7.04,32,50
gaussian,1008,41,Fan1,725714285.71,7.06,6068,1083095238.10,7.06,5600,0.95,71.96,0.09,54.14,0.27,0.00,0.28,6.95,6.95,52474285714.29,0.68,7.06,50.82,0.09,1.45,3.28,0.11,92.80,1,0.07,7.20,29.22,31.82,47.65,45.51,45.51,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.84,20.07,64,100
gaussian,1008,42,Fan2,871843805.05,9.03,142109,1303006948.52,10.16,108992,10.16,104574.54,4.51,10.50,0.24,0.18,0.24,6.12,6.12,80644450968.88,9.41,10.16,90.13,3.82,75.48,1.53,0.09,91.70,1,0.08,8.30,14.48,15.94,18.40,18.39,18.39,6399.62,2047880,6403.69,2049180,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.36,6.81,32,50
gaussian,1008,43,Fan1,729651162.79,7.06,5992,1088269137.60,7.06,5504,0.96,71.10,0.09,54.75,0.27,0.00,0.28,7.04,7.04,52750000000,0.68,7.06,50.82,0.09,1.45,3.40,0.11,92.56,1,0.07,7.44,29.20,31.80,47.82,45.67,45.67,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.94,20.21,64,100
gaussian,1008,44,Fan2,871149897.33,9.01,142106,1301982497.31,10.15,109088,10.15,101892.74,4.50,10.72,0.25,0.18,0.25,6.27,6.27,80356702845.41,9.46,10.15,91.13,3.81,75.46,1.50,0.08,91.84,1,0.08,8.16,14.50,15.96,18.35,18.34,18.34,6381.75,2042160,6385.80,2043457,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.63,7.24,32,50
gaussian,1008,45,Fan1,704022988.51,7.23,5905,1060165229.89,7.23,5568,0.97,69.06,0.09,56.31,0.28,0.00,0.29,7.24,7.24,52109195402.30,0.70,7.23,50.82,0.09,1.45,3.32,0.11,92.56,1,0.07,7.44,29.17,31.77,46.74,44.64,44.64,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.77,19.95,64,100
gaussian,1008,46,Fan2,872393538.91,8.97,142175,1303964757.71,8.97,108960,8.75,102411.81,4.49,9.47,0.25,0.18,0.25,6.22,6.22,80174155653.45,8.75,8.97,85.68,3.80,73.32,1.42,0.09,91.68,1,0.08,8.32,14.52,15.98,17.02,17.01,17.01,6368.68,2037978,6372.74,2039276,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.53,7.08,32,50
gaussian,1008,47,Fan1,705714285.71,7.14,5900,1053095238.10,7.14,5600,0.97,71.04,0.09,54.69,0.27,0.00,0.28,7.04,7.04,51594285714.29,0.70,7.14,50.82,0.09,1.45,3.06,0.11,92.90,1,0.07,7.10,29.15,31.74,45.08,43.05,43.05,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.79,19.98,64,100
gaussian,1008,48,Fan2,870234604.11,8.95,141980,1300423081.62,10.02,109120,10.02,99398.32,4.49,10.85,0.26,0.18,0.26,6.41,6.41,79726686217.01,8.96,10.02,90.48,3.81,76.09,1.42,0.08,91.73,1,0.08,8.27,14.50,15.96,17.22,17.21,17.21,6368.68,2037978,6372.72,2039270,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.77,7.46,32,50
gaussian,1008,49,Fan1,732352941.18,7.08,5948,1093137254.90,7.08,5440,0.96,72.28,0.09,53.70,0.26,0.00,0.28,6.92,6.92,53123529411.76,0.69,7.08,50.82,0.09,1.46,3.33,0.11,92.54,1,0.07,7.46,29.12,31.72,46.71,44.61,44.61,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.94,20.21,64,100
gaussian,1008,50,Fan2,871367772.23,8.94,142099,1302595452.99,10.07,109024,10.07,102375.68,4.49,10.57,0.25,0.18,0.25,6.22,6.22,79780745523.92,8.90,10.07,89.99,3.80,76.30,1.44,0.09,91.62,1,0.08,8.38,14.48,15.94,17.24,17.23,17.23,6368.68,2037978,6372.73,2039275,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.36,6.81,32,50
gaussian,1008,51,Fan1,721264367.82,7.00,6000,1077316810.34,7.00,5568,0.95,70.46,0.09,55.03,0.27,0.00,0.28,7.10,7.10,51706896551.72,0.68,7.00,50.82,0.09,1.46,3.64,0.12,92.14,1,0.08,7.86,29.10,31.69,48.50,46.32,46.32,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.87,20.10,64,100
gaussian,1008,52,Fan2,871256605.99,8.95,141984,1301869250.34,10.03,108992,10.03,103461,4.48,10.42,0.25,0.18,0.25,6.14,6.14,79810921902.52,9.37,10.03,91.23,3.80,76.29,1.43,0.08,91.69,1,0.08,8.31,14.50,15.96,17.28,17.27,17.27,6350.86,2032275,6354.92,2033574,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.41,6.89,32,50
gaussian,1008,53,Fan1,723837209.30,7.02,5970,1084090358.53,7.02,5504,0.96,67.49,0.09,57.40,0.28,0.00,0.30,7.41,7.41,52017441860.47,0.69,7.02,50.82,0.09,1.46,3.02,0.11,93.08,1,0.07,6.92,29.08,31.67,45.66,43.61,43.61,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.75,19.92,64,100
gaussian,1008,54,Fan2,870343209.15,8.94,141996,1301247616.60,8.94,109088,8.39,103039.76,4.47,9.34,0.25,0.18,0.25,6.16,6.16,79663537694.34,8.39,8.94,86.16,3.78,73.63,1.40,0.09,91.63,1,0.08,8.37,14.51,15.98,16.77,16.76,16.76,6337.84,2028110,6344.32,2030183,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.27,6.67,32,50
gaussian,1008,55,Fan1,732352941.18,7.11,5971,1097212009.80,7.11,5440,0.96,69.09,0.09,56.02,0.28,0.00,0.29,7.24,7.24,53323529411.76,0.68,7.11,50.82,0.09,1.46,3.42,0.12,92.40,1,0.08,7.60,29.05,31.64,47.17,45.05,45.05,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.92,20.19,64,100
gaussian,1008,56,Fan2,871441150.57,8.93,142059,1302413535.86,9.95,109024,9.95,105255.64,4.47,10.23,0.24,0.18,0.24,6.03,6.03,79729967713.53,8.85,9.95,89.33,3.78,75.38,1.39,0.08,91.79,1,0.08,8.21,14.50,15.96,16.91,16.90,16.90,6337.84,2028110,6341.90,2029409,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.12,6.44,32,50
gaussian,1008,57,Fan1,671195652.17,7.16,5867,996037137.68,7.16,5888,0.97,70.39,0.09,54.93,0.27,0.00,0.28,7.11,7.11,49190217391.30,0.70,7.16,50.82,0.09,1.46,3.29,0.11,92.53,1,0.07,7.47,29.03,31.62,46.14,44.07,44.07,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.96,20.25,64,100
gaussian,1008,58,Fan2,867612638.97,8.91,141879,1296379766.43,9.97,109376,9.97,103809.71,4.47,10.35,0.24,0.18,0.24,6.11,6.11,79191632533.65,8.89,9.97,90.89,3.79,76.33,1.40,0.08,91.69,1,0.08,8.31,14.48,15.94,16.83,16.82,16.82,6337.84,2028110,6343.06,2029778,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.25,6.64,32,50
gaussian,1008,59,Fan1,764705882.35,6.79,6237,1146170343.14,6.79,5440,0.92,70.15,0.09,55.06,0.27,0.00,0.29,7.13,7.13,53182352941.18,0.65,6.79,50.82,0.09,1.46,3.41,0.11,92.67,1,0.07,7.33,29.01,31.59,48.68,46.49,46.49,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.92,20.19,64,100
gaussian,1008,60,Fan2,871550205.52,8.94,142050,1302722523.98,9.95,108992,9.95,103876.77,4.45,10.30,0.24,0.18,0.24,6.09,6.09,79790663534.94,8.80,9.95,89.72,3.77,75.93,1.41,0.08,91.79,1,0.08,8.21,14.50,15.96,17.14,17.12,17.12,6320.07,2022424,6324.23,2023755,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.26,6.65,32,50
gaussian,1008,61,Fan1,738235294.12,6.99,5988,1100490196.08,6.99,5440,0.95,68.54,0.09,56.30,0.28,0.00,0.29,7.30,7.30,52876470588.24,0.68,6.99,50.80,0.09,1.46,3.19,0.12,92.28,1,0.08,7.72,28.98,31.57,43.29,41.34,41.34,4.78,1529,5.00,1601,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.94,20.22,64,100
gaussian,1008,62,Fan2,870046962.14,8.84,141885,1300820614.42,8.84,109024,8.09,103191.68,4.45,8.91,0.24,0.18,0.24,6.12,6.12,78724684473.14,7.87,8.84,86.87,3.77,73.90,1.41,0.08,91.72,1,0.08,8.28,14.51,15.98,17.08,17.06,17.06,6307.11,2018276,6312.12,2019879,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.22,6.59,32,50
